Name,Link 1,Link 1.1,Country,Year,Director,Subtitles,Runtime,Genres,Imdb id,Vote avg,Overview,Spoken languages,Vote count,Release date,Tagline,Collection,Title,Original title
Turtles Can Fly,Streaming link,,Iran,2 004,Bahman Ghobadi,yes,1h 38m,Drama,IMDB,7.5,Turtles can fly tells the story of a group of young children near the Turkey-Iran border. They clean up mines and wait for the Saddam regime to fall.,Arabic | English | Kurdish,120,2005-01-07,,,Turtles Can Fly,لاک‌پشت‌ها هم پرواز می‌کنند
Five Dedicated to Ozu,Streaming link,,Iran,2 003,Abbas Kiarostami,no dialog,1h 14m,Documentary,IMDB,6.3,"Finding himself in a house in the north of Iran by the Caspian Sea, the director picked up his handheld DV camera and began filming the seemingly anodyne events happening on the 500 metres of beach in front of his house—a piece of wood toyed with by the waves, people walking by the sea, indistinct shapes on a wintry beach or noisy ducks.",No Language,12,2003-12-10,,,Five Dedicated to Ozu,Five Dedicated to Ozu
Crimson Gold,Streaming link,,Iran,2 003,Jafar Panahi,yes,,Comedy | Western,IMDB,0.0,Silent Western Comedy,,,1923-06-30,,,Crimson Gold,Crimson Gold
Dancing in the Dust,Streaming link,,Iran,2 003,Asghar Farhadi,yes,1h 35m,Drama,IMDB,6.2,"When forced to divorce his wife by family and social pressure because her mother is a prostitute, Nazar (Khodaparast) works double shifts to pay back the loan he took out for his impulsive wedding and to pay some ongoing restitution to his sweet jilted bride, Reyhaneh (Kosari). When he falls behind in the payments he flees the police and ends up in the desert with an uncommunicative old man (Gharibian) who catches poisonous snakes for their venom. These two are forced to coexist in the desert, because Nazar is unwilling to return to the city and wants to catch snakes to make enough money to settle his debts. His verbose, chattering annoys the reticent old man until Nazar's life is endangered. Written by Maple-2",Persian | Turkish,6,2003-01-01,,,Dancing in the Dust,رقص در غبار‎‎
Marooned in Iraq,Streaming link,,Iran,2 002,Bahman Ghobadi,yes,1h 48m,Drama | War,IMDB,7.5,"During the war between Iran and Iraq, a group of Iranian Kurd musicians set off on an almost impossible mission. They will try to find Hanareh, a singer with a magic voice who crossed the border and may now be in danger in the Iraqi Kurdistan. As in his previous films, this Kurdish director is again focusing on the oppression of his people.",Kurdish | Persian,6,2002-10-09,,,Marooned in Iraq,Gomgashtei dar Aragh
Ten,Streaming link,,Iran,2 002,Abbas Kiarostami,yes,3h 40m,Drama | History,IMDB,7.7,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",English,886,1956-10-05,The Greatest Event in Motion Picture History.,,The Ten Commandments,The Ten Commandments
Baran,Streaming link,,Iran,2 001,Majid Majidi,yes,,,,,,,,,,,,
Kandahar,Streaming link,,Iran,2 001,Mohsen Makhmalbaf,yes,,Action,,0.0,"Tom Harris, an undercover CIA operative working in the Middle East. An intelligence leak dangerously exposes his classified mission and reveals his covert identity. Stuck in the heart of hostile territory, Harris and his translator must fight their way out of the desert to an extraction point in Kandahar, Afghanistan, while eluding the elite special forces hunting them.",,,,,,Kandahar,Kandahar
The Circle,Streaming link,,Iran,2 000,Jafar Panahi,yes,1h 50m,Drama | Science Fiction | Thriller,IMDB,5.5,"A young tech worker takes a job at a powerful Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will determine the future of humanity.",English,3436,2017-04-27,Knowing is good. Knowing everything is better.,,The Circle,The Circle
Willow and Wind,Streaming link,,Iran,2 000,Mohammad-Ali Talebi,yes,1h 21m,Drama,IMDB,8.6,A boy breaks a window at his school and sets out to fix it on his own during a storm.,Persian,5,1999-02-01,,,Willow and Wind,بید و باد
