Name,Link 1,Link 1.1,Country,Year,Director,Subtitles,Runtime,Genres,Imdb id,Vote avg,Overview,Spoken languages,Vote count,Release date,Tagline,Collection,Title,Original title
The Best Intentions E3,Streaming link,,Denmark,1 991,Bille August,yes,3h 2m,Drama | Romance,IMDB,7.0,"The story of Ingmar Bergman's parents. In 1909, poor theology student Henrik Bergman falls in love with Anna Åkerbloom, the daughter of a rich family in Uppsala. After their wedding Henrik becomes a priest in the north of Sweden. After a few years Anna can't stand living in the rural county with the uncouth people. She returns to Uppsala, Henrik stays in the north.",Swedish,35,1992-05-24,,,The Best Intentions,Den goda viljan
The Best Intentions E4,Streaming link,,Denmark,1 991,Bille August,yes,3h 2m,Drama | Romance,IMDB,7.0,"The story of Ingmar Bergman's parents. In 1909, poor theology student Henrik Bergman falls in love with Anna Åkerbloom, the daughter of a rich family in Uppsala. After their wedding Henrik becomes a priest in the north of Sweden. After a few years Anna can't stand living in the rural county with the uncouth people. She returns to Uppsala, Henrik stays in the north.",Swedish,35,1992-05-24,,,The Best Intentions,Den goda viljan
Babette's Feast,Streaming link,,Denmark,1 987,Gabriel Axel,yes,,Drama,,0.0,"The film will be set in a religious community in small-town Minnesota, where two older, unmarried sisters accept a refugee, who leads them to confront their regrets, over an extraordinary meal.",English,,,,,Babette's Feast,Babette's Feast
Pelle The Conqueror,Streaming link,,Denmark,1 987,Bille August,yes,,,,,,,,,,,,
Gertrud,Streaming link,,Denmark,1 964,Carl Theodor Dreyer,yes,1h 59m,Drama | Romance,IMDB,7.3,"Hopeless romantic Gertrud inhabits a turn-of-the-century milieu of artists and musicians, where she pursues an idealized notion of love that will always elude her. She abandons her distinguished husband and embraces an affair with a young concert pianist, who falls short of her desire for lasting affection. When an old lover returns to her life, fresh disappointments follow, and Gertrud must try to come to terms with reality.",Danish,90,1964-12-19,,,Gertrud,Gertrud
Ordet,Streaming link,,Denmark,1 955,Carl Theodor Dreyer,yes,2h 5m,Drama,IMDB,8.0,"The three sons of devout Danish farmer Morten have widely disparate religious beliefs. Youngest son Anders shares his father's religion, but eldest son Mikkel has lost his faith, while middle child Johannes has become delusional and proclaims that he is Jesus Christ himself. When Mikkel's wife, Inger goes into a difficult childbirth, everyone's beliefs are put to the test.",Danish,198,1955-01-09,A Legend for Today,,Ordet,Ordet
Ida,Streaming link,,Poland,2 013,Paweł Pawlikowski,yes,1h 22m,Drama,IMDB,7.3,"Anna, a young novitiate in 1960s Poland, is on the verge of taking her vows when she discovers a family secret dating back to the years of the German occupation.",Polish,632,2013-10-25,,,Ida,Ida
"I Am Nojoom, Age 10 and Divorced",Streaming link,,Yemen,2 014,Khadija Al-Salami,arabic,1h 36m,Drama,IMDB,7.3,"Ten-year-old Nojoom was forced to marry a 30-year-old man. The dowry offered the family a small income and 'one less mouth to feed'. Nojoom discovers that her life will take a turn for the worse. Her husband is indifferent to her age. Every day after she is wedded, the child works under harsh conditions and every night, the child-bride is raped by a man 20 years older than her. A legitimate and acceptable arrangement for all, except for Nojoom.",Arabic,17,2014-12-11,,,"I Am Nojoom, Age 10 and Divorced",انا نجوم بنت العاشرة ومطلقة
Psycho,Streaming link,,England,1 960,Alfred Hitchcock,yes,1h 49m,Drama | Horror | Thriller,IMDB,8.4,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",English,6878,1960-06-22,A new—and altogether different—screen excitement!,Psycho Collection,Psycho,Psycho
The Third Man,Streaming link,,England,1 949,Carol Reed,yes,1h 45m,Mystery | Thriller,IMDB,8.0,"In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry's grief-stricken lover, Anna.",English | German | Russian,1106,1949-08-31,Hunted by men ... Sought by WOMEN!,,The Third Man,The Third Man
Secrets & Lies,Streaming link,,England,1 996,Mike Leigh,yes,2h 22m,Drama,IMDB,7.5,"With both her adoptive parents now dead, a Black optometrist decides to make contact with her birth mother, only to find out that she is white.",English,322,1996-05-24,,,Secrets & Lies,Secrets & Lies
The Birds,Streaming link,,England,1 963,Alfred Hitchcock,yes,1h 59m,Horror,IMDB,7.5,"Chic socialite Melanie Daniels enjoys a passing flirtation with an eligible attorney in a San Francisco pet shop and, on an impulse, follows him to his hometown bearing a gift of lovebirds. But upon her arrival, the bird population runs amok. Suddenly, the townsfolk face a massive avian onslaught, with the feathered fiends inexplicably attacking people all over Bodega Bay.",English,2635,1963-03-28,"...and remember, the next scream you hear may be your own!",The Birds Collection,The Birds,The Birds
Withnail & I,Streaming link,,England,1 987,Bruce Robinson ,yes,1h 48m,Comedy | Drama,IMDB,7.4,"Two out-of-work actors -- the anxious, luckless Marwood and his acerbic, alcoholic friend, Withnail -- spend their days drifting between their squalid flat, the unemployment office and the pub. When they take a holiday ""by mistake"" at the country house of Withnail's flamboyantly gay uncle, Monty, they encounter the unpleasant side of the English countryside: tedium, terrifying locals and torrential rain.",English | Latin,340,1987-06-19,"If you don't remember the 60s don't worry, neither can they.",,Withnail & I,Withnail & I
The Mission,Streaming link,,England,1 986,Roland Joffé,yes,2h 6m,Action | Adventure | Drama | History,IMDB,7.4,"When a Spanish Jesuit goes into the South American wilderness to build a mission in the hope of converting the Indians of the region, a slave hunter is converted and joins his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portugese aggressors.",English | Guarani | Latin | Spanish,860,1986-09-29,One will trust in the power of prayer. One will believe in the might of the sword.,,The Mission,The Mission
The 39 Steps,Streaming link,,England,1 935,Alfred Hitchcock,yes,1h 26m,Mystery | Thriller,IMDB,7.4,"Richard Hanney has a rude awakening when a glamorous female spy falls into his bed -- with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as ""The 39 Steps.""",English,551,1935-06-06,Handcuffed to the girl who double-crossed him,,The 39 Steps,The 39 Steps
Edvard Munch,Streaming link,,England,1 974,Peter Watkins,yes,3h 41m,Drama | History | Mystery | TV Movie,IMDB,7.3,"A biographical film about the Norwegian Expressionist painter Edvard Munch. It was originally created as a three-part miniseries co-produced by the Norwegian and Swedish state television networks, but subsequently gained an American theatrical release in a three-hour version in 1976. The film covers about thirty years of Munch's life, focusing on the influences that shaped his art, particularly the prevalence of disease and death in his family and his youthful affair with a married woman.",English | French | German | Norwegian,36,1974-11-12,,,Edvard Munch,Edvard Munch
Hobson's Choice,Streaming link,,England,1 954,David Lean,yes,1h 47m,Comedy | Drama,IMDB,7.3,"Henry Hobson owns and tyrannically runs a successful Victorian boot maker’s shop in Salford, England. A stingy widower with a weakness for overindulging in the local Moonraker Public House, he exploits his three daughters as cheap labour. When he declares that there will be ‘no marriages’ to avoid the expense of marriage settlements at £500 each, his eldest daughter Maggie rebels.",English,63,1954-04-19,,,Hobson's Choice,Hobson's Choice
Vera Drake,Streaming link,,England,2 004,Mike Leigh,yes,1h 57m,Drama,IMDB,7.2,Abortionist Vera Drake finds her beliefs and practices clash with the mores of 1950s Britain – a conflict that leads to tragedy for her family.,English,198,2004-10-22,Wife. Mother. Criminal.,,Vera Drake,Vera Drake
The Loneliness of the Long Distance Runner,Streaming link,,England,1 962,Tony Richardson,yes,1h 44m,Drama,IMDB,7.2,"A rebellious youth sentenced to a reformatory for robbing a bakery rises through the ranks of the institution through his prowess as a long distance runner. During his solitary runs, reveries of his life and times before his incarceration lead him to re-evaluate his privileged status as a prized athlete.",English,87,1962-09-20,,,The Loneliness of the Long Distance Runner,The Loneliness of the Long Distance Runner
All or Nothing,Streaming link,,England,2 002,Mike Leigh,yes,2h 8m,Comedy | Drama,IMDB,7.0,"Penny works at a supermarket and Phil is a gentle taxi-driver. Penny’s love for Phil has run dry and they lead joyless lives with their two children, Rachel, a cleaner, and Rory, who is unemployed and aggressive.",Arabic | English | French,80,2002-05-17,,,All or Nothing,All or Nothing
Foreign Correspondent,Streaming link,,England,1 940,Alfred Hitchcock,yes,2h 0m,Mystery | Thriller | War,IMDB,7.0,"The European war was only beginning to erupt across national borders. Johnny Jones, an American crime reporter dispatched by his New York publisher to put a fresh spin on the drowsy dispatches emanating from overseas, has a nose for a good story—which promptly leads him to the crime of fascism and Nazi Germany's designs on European conquest. In attempting to learn more about a seemingly noble peace effort, Jones walks into the middle of an assassination, uncovers a spy ring and—not entirely coincidentally—falls in love.",Dutch | English | French | German | Latvian,200,1940-08-16,The thrill spectacle of the year!,,Foreign Correspondent,Foreign Correspondent
Rebecca,Streaming link,,England,1 940,Alfred Hitchcock,yes,2h 3m,Drama | Mystery | Romance | Thriller,IMDB,6.4,"After a whirlwind romance with a wealthy widower, a naïve bride moves to his family estate but can't escape the haunting shadow of his late wife.",English | French,484,2020-10-16,,,Rebecca,Rebecca
Mademoiselle,Streaming link,,England,1 966,Tony Richardson,yes,1h 50m,Drama | Romance,IMDB,6.3,"When a romance between a widow and a notorious libertine takes an unexpected turn, Mademoiselle de Joncquières becomes instrumental to one lover’s plans for revenge.",French,168,2018-09-12,"Love, seduce, manipulate, intrigue, get revenge.",,Lady J,Mademoiselle de Joncquières
The Hireling,Streaming link,,England,1 973,Alan Bridges,yes,1h 48m,Drama | Romance,IMDB,5.4,"Based on the novel by L. P. Hartley, The Hireling is a dissection of antiquated but hardly dormant British class distinctions as a lonely socialite and her chauffeur become more than friends.",English,12,1973-06-10,,,The Hireling,The Hireling
If,Streaming link,,England,1 968,Lindsay Anderson,yes,,,,,,,,,,,,
Brief Encounte,Streaming link,,England,1 945,David Lean,yes,,,,,,,,,,,,
The Wind That Shakes The Barley,Streaming link,,England,2 006,Ken Loach,yes,,,,,,,,,,,,
Leningrad Cowboys Go America,Streaming link,,Finland,1 989,Aki Kaurismäki,yes,1h 19m,Comedy | Music,IMDB,7.0,"The Leningrad Cowboys, a group of Russian musicians, and their manager, travel to America seeking fame and fortune. As they cross the country, trying to get to a wedding in Mexico, they are followed by the village idiot, who wishes to join the band.",English | Finnish,83,1989-03-24,,Leningrad Cowboys Collection,Leningrad Cowboys Go America,Leningrad Cowboys Go America
Ariel,Streaming link,,Finland,1 988,Aki Kaurismäki,yes,1h 13m,Comedy | Crime | Drama,IMDB,6.8,"Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...",Finnish | German,121,1988-10-21,,,Ariel,Ariel
Shadows in Paradise,Streaming link,,Finland,1 986,Aki Kaurismäki,yes,1h 27m,Action,IMDB,6.0,"During a rescue operation in Iraq, Special Forces member Max Forrester is devastated when Sasha, his squad mate and fiancée goes missing. Two years later, Max now out of the military, receives a call from his ex-commander, Captain Dyer, informing him Sasha has been seen alive and moving freely about on a place called Paradise Island. He also informs Max the military is preparing to go in and extract her with possible charges of desertion or worse. Max sets off on his own to Paradise Island to find Sasha and learn the truth before Shadow Company gets to her first.",English,14,2010-02-09,,,Shadows in Paradise,Shadows in Paradise
Calamari Union,Streaming link,,Finland,1 985,Aki Kaurismäki,yes,1h 21m,Comedy,IMDB,6.7,"Calamari Union is an allegorical movie that tells the story of sixteen men all of whom are called Frank (inspired by Frank Armoton) apart from a single confrere, Pekka. Collectively the Franks and Pekka are unhappy with the perceived oppression they face in their district of Helsinki, Kallio, and decide to move to another, Eira, imagining it to be an unspoiled place where people can live lives of dignity. The journey is an ironic one given that both districts are not so far apart. In this spirit, their journey across the city takes on epic proportions with each of the travellers gradually falling by the wayside due to such travails as marriage, work, and death. In its entirety the film is a wry discussion of humanity within a system that regards humans as subservient components.",English | Finnish,31,1985-02-08,,,Calamari Union,Calamari Union
Crime and Punishment,Streaming link,,Finland,1 983,Aki Kaurismäki,yes,1h 28m,Crime | Drama,IMDB,6.7,A man is haunted by a murder he's committed.,English,33,1935-11-22,I am Sonya! You don't know who or what I am... the police know! They know I'm in love with a murderer! But a woman like me might still save a man's soul!,,Crime and Punishment,Crime and Punishment
The Kid with a Bike,Streaming link,,Belgium,2 011,Dardenne Brothers,yes,1h 27m,Drama,IMDB,7.2,"Abandoned by his father, a young boy is left in the hands of an unqualified childcare provider.",French,267,2011-05-18,,,The Kid with a Bike,Le Gamin au vélo
In a Better World,Streaming link,,Denmark,2 010,Susanne Bier,yes,1h 58m,Drama,IMDB,7.2,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",Danish | English | Russian | Swedish,255,2010-08-26,When We Are Pushed To The Edge We Discover The Line Between Justice And Revenge,,In a Better World,Hævnen
The Beaches of Agnès,Streaming link,,France,2 008,Agnès Varda,yes,1h 50m,Documentary,IMDB,7.7,"Filmmaking icon Agnès Varda, the award-winning director regarded by many as the grandmother of the French new wave, turns the camera on herself with this unique autobiographical documentary. Composed of film excerpts and elaborate dramatic re-creations, Varda's self-portrait recounts the highs and lows of her professional career, the many friendships that affected her life and her longtime marriage to cinematic giant Jacques Demy.",French,45,2008-12-17,,,The Beaches of Agnès,Les Plages d'Agnès
The Pianist,Streaming link,,France,2 002,Roman Polański,yes,2h 30m,Drama | War,IMDB,8.4,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",English | German | Russian,5863,2002-09-17,Music was his passion. Survival was his masterpiece.,,The Pianist,The Pianist
Trouble Every Day,Streaming link,,France,2 001,Claire Denis,yes,1h 41m,Drama | Horror | Romance,IMDB,6.0,"Two American newlyweds in Paris experience a love so strong, it almost devours them.",English | French,92,2001-07-11,The hunger to love.,,Trouble Every Day,Trouble Every Day
The Gleaners & I,Streaming link,,France,2 000,Agnès Varda,yes,,,,,,,,,,,,
The Girl on the Bridge,Streaming link,,France,1 999,Patrice Leconte,yes,1h 16m,Crime | Drama,IMDB,6.5,A young woman's suicide attempt is stopped by an old man passing by. The two fall in love -- but the relationship between the young girl and old man is threatened when a blackmailer from her past shows up.,English,4,1951-12-01,She's Man-Bait and Murder!,,The Girl on the Bridge,The Girl on the Bridge
Ridicule,Streaming link,,France,1 996,Patrice Leconte,yes,1h 42m,Comedy | Drama | Romance,IMDB,6.8,"To get royal backing on a needed drainage project, a poor French lord must learn to play the delicate games of wit at court at Versailles.",French,121,1996-05-09,,,Ridicule,Ridicule
La Ceremonie,Streaming link,,France,1 995,Claude Chabrol,yes,1h 51m,Drama | Thriller,IMDB,7.3,"Sophie, a quiet and shy maid working for the upper-class family Lelievre, hides her illiteracy under the cloak of a perfect household and obedience. She finds a friend in the energetic and uncompromising postmaster Jeanne, who encourages her to stand up against her bourgeois employers.",French | German,138,1995-08-30,,,La Ceremonie,La Cérémonie
L Enfer,Streaming link,,France,1 994,Claude Chabrol,yes,,,,,,,,,,,,
Germinal,Streaming link,,France,1 993,Claude Berri,yes,2h 40m,Drama | Romance,IMDB,6.7,"It's mid 19th century, north of France. The story of a coal miner's town. They are exploited by the mine's owner. One day the decide to go on strike, and then the authorities repress them",French,192,1993-09-29,Who needs God and Heaven? We can change this lousy world.,,Germinal,Germinal
La Belle Noiseuse,Streaming link,,France,1 993,Jacques Rivette,yes,3h 58m,Drama,IMDB,7.4,"The former famous painter Frenhofer lives quietly with his wife on a countryside residence in the French Provence. When the young artist Nicolas visits him with his girlfriend Marianne, Frenhofer decides to start again the work on a painting he long ago stopped: La Belle Noiseuse. And he wants Marianne as model.",English | French,96,1991-09-04,,,La Belle Noiseuse,La Belle Noiseuse
La Belle Noiseuse,Streaming link,,France,1 992,Jacques Rivette,yes,3h 58m,Drama,IMDB,7.4,"The former famous painter Frenhofer lives quietly with his wife on a countryside residence in the French Provence. When the young artist Nicolas visits him with his girlfriend Marianne, Frenhofer decides to start again the work on a painting he long ago stopped: La Belle Noiseuse. And he wants Marianne as model.",English | French,96,1991-09-04,,,La Belle Noiseuse,La Belle Noiseuse
La Belle Noiseuse,Streaming link,,France,1 991,Jacques Rivette,yes,3h 58m,Drama,IMDB,7.4,"The former famous painter Frenhofer lives quietly with his wife on a countryside residence in the French Provence. When the young artist Nicolas visits him with his girlfriend Marianne, Frenhofer decides to start again the work on a painting he long ago stopped: La Belle Noiseuse. And he wants Marianne as model.",English | French,96,1991-09-04,,,La Belle Noiseuse,La Belle Noiseuse
Monsieur Hire,Streaming link,,France,1 989,Patrice Leconte,yes,1h 21m,Crime | Drama,IMDB,7.2,"A French man spies on a lovely younger woman across the way. When he's spotted by the woman shortly after being questioned by the police about a local murder, the man's simple life becomes more complicated.",French,81,1989-05-24,,,Monsieur Hire,Monsieur Hire
Story of Women,Streaming link,,France,1 988,Claude Chabrol,yes,1h 48m,Drama,IMDB,7.5,"France, World War II. In order to somehow make ends meet, the mother of two children, Marie Latour, does underground abortions and rents a room to a familiar prostitute. She doesn't pay any attention to her husband, who returned from the war because of his injury and lives her own life. Abortions gradually begin to bring a good income, and boredom can be easily dispelled by starting a young lover ...",French | German,54,1988-09-14,,,Story of Women,Une affaire de femmes
Au Revoir les Enfants,Streaming link,,France,1 987,Louis Malle,yes,1h 45m,Drama | War,IMDB,7.5,"Au revoir les enfants tells a heartbreaking story of friendship and devastating loss concerning two boys living in Nazi-occupied France. At a provincial Catholic boarding school, the precocious youths enjoy true camaraderie—until a secret is revealed. Based on events from writer-director Malle’s own childhood, the film is a subtle, precisely observed tale of courage, cowardice, and tragic awakening.",English | French | German | Greek | Latin,399,1987-10-07,,,Au Revoir les Enfants,Au revoir les enfants
Under the Sun of Satan,Streaming link,,France,1 987,Maurice Pialat,yes,1h 38m,Drama,IMDB,6.1,"Satan tempts Father Dossignan, who is trying to save the soul of a young girl who killed one of her lovers.",French,59,1987-05-14,,,Under the Sun of Satan,Sous le soleil de Satan
Mauvais Sang,Streaming link,,France,1 986,Leos Carax,yes,1h 59m,Crime | Drama | Romance,IMDB,7.3,"A sexually transmitted disease called STBO is sweeping the country. It's spread by having sex without emotional involvement, and most of its victims are teenagers who make love out of curiosity rather than commitment. While a serum that can treat the disease has been formulated, it's been locked away in an inaccessible government building. A woman hires two men to steal the serum.",French,130,1986-11-26,Love that burns fast but lasts forever,,Mauvais Sang,Mauvais Sang
The Green Ray,Streaming link,,France,1 986,Éric Rohmer,yes,0h 3m,,,6.5,A static and silent shot of a sunset off the western coast of Madagascar.,,2,2001-09-20,,,The Green Ray,The Green Ray
Empty Quarter A Woman in Africa,Streaming link,,France,1 985,Raymond Depardon,yes,,,,,,,,,,,,
Police,Streaming link,,France,1 985,Maurice Pialat,yes,1h 37m,Comedy | Crime,IMDB,6.6,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!",English,1663,1984-03-22,What an Institution!,Police Academy Collection,Police Academy,Police Academy
She Spent So Many Hours Under the Sun Lamps,Streaming link,,France,1 985,Philippe Garrel,yes,2h 10m,Drama,IMDB,7.4,"A young film director is turning a movie with his friend Christa. In the film-within-the-film there are two couples, one real, one imagined , and the film - told through five dreams - is as much the story of a film on-production, as the birth of a child.",French,8,1985-10-09,,,She Spent So Many Hours Under the Sun Lamps,Elle a passé tant d'heures sous les sunlights...
Vagabond,Streaming link,,France,1 985,Agnès Varda,yes,0h 24m,Comedy,IMDB,6.7,"After passing the hat and taking the donations intended for German street musicians Charlie heads for the country. Here he finds and rescues a girl from a band of gypsies. The girl falls in love with an artist whose portrait is later seen in a shop by the girl's real mother. The mother and the artist arrive in a chauffeured auto and offer Charlie money for his services, money which he rejects.",No Language,79,1916-07-10,,,The Vagabond,The Vagabond
Dangerous Moves,Streaming link,,France,1 984,Richard Dembo,yes,1h 50m,Drama | Thriller,IMDB,6.0,"World Chess Champion Akiva Liebskind (Michel Piccoli) faces his former pupil Pavius Fromm (Alexandre Arbatt), who defected to the West from the Soviet Union five years earlier, for the World Chess Championship in Geneva, Switzerland. The tension and strategies between the players draw parallels to the political conflicts and ideologies between East and West during the Cold War.",French,21,1984-04-15,,,Dangerous Moves,La Diagonale Du Fou
L’argent,Streaming link,,France,1 983,Robert Bresson,yes,,,,,,,,,,,,
Sans Soleil,Streaming link,,France,1 983,Chris Marker,yes,1h 40m,Documentary,IMDB,7.6,"""He wrote me..."" A woman narrates the thoughts of a world traveler, meditations on time and memory expressed in words and images from places as far-flung as Japan, Guinea-Bissau, Iceland, and San Francisco.",French,143,1983-02-15,,,Sans Soleil,Sans soleil
Missing,Streaming link,,France,1 982,Costa-Gavras,yes,1h 25m,Drama | Horror | Thriller,IMDB,6.1,"Fictional drama based on actual events, about two teenage girls who encounter an Internet predator.",English,325,2011-05-01,"Megan and Amy are best friends. They share secrets. They chat with guys online. And in a few days, they will never be seen again.",,Megan Is Missing,Megan Is Missing
Atlantic City,Streaming link,,France,1 980,Louis Malle,yes,1h 44m,Crime | Drama | Romance,IMDB,6.9,"In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger.",English | French,145,1980-09-03,"She made him become what he always wanted to be - a lover, a hero, a rich man...and a killer!",,Atlantic City,Atlantic City
"The Devil, Probably",Streaming link,,France,1 977,Robert Bresson,yes,1h 33m,Drama,IMDB,6.9,"A group of disillusioned young Parisians seek solace in politics, religion, romance, music, and drugs.",French,48,1977-06-15,,,"The Devil, Probably",Le diable probablement
Daguerréotypes,Streaming link,,France,1 976,Agnès Varda,yes,1h 20m,Documentary,IMDB,6.9,"An intimate portrait of the small shops and shopkeepers of the Rue Daguerre in Paris, a picturesque street that has been the filmmaker’s home for more than 50 years.",French,14,1976-01-20,,,Daguerréotypes,Daguerréotypes
Jean-Jacques Annaud,Streaming link,,France,1 976,Jean-Jacques Annaud,yes,1h 25m,,IMDB,0.0,,French,,1979-09-15,,,Jean-Jacques Rousseau,Jean-Jacques Rousseau
The Tenant,Streaming link,,France,1 976,Roman Polański,yes,1h 36m,Action | Horror | Science Fiction | Thriller,IMDB,3.8,"A simple man, Dr. Walter Newman has high aspirations to cure all disease through genetic manipulation. His obsession with his mission draws him deeper into his own dark world, distracting him from his wife Olivia and from his responsibilities to his patients at the Edgewood Asylum. The doctor's loyal but diabolical nurse, Ms. Tinsley, decides to take matters into her own hands and in secret she conducts her own experiment. When Dr. Newman realizes what has been done, a deformed creature that defies nature is created. Part human, part nightmare. Dr. Newman knows what he must do, but is it already too late?",English,9,2011-08-19,Your next breath will be your last,,The Tenant,The Tenant
Les Hautes Solitudes,Streaming link,,France,1 974,Philippe Garrel,no dialog,,,,,,,,,,,,
Celine and Julie Go Boating,Streaming link,,France,1 974,Jacques Rivette,yes,,,,,,,,,,,,
Lancelot of the Lake,Streaming link,,France,1 974,Robert Bresson,yes,1h 25m,Drama | Romance | War,IMDB,6.3,"Having failed in their quest for the Holy Grail, the knights of the Round Table return to Camelot, their number reduced to a mere handful. Seeing a rift developing between Lancelot and Mordred, Arthur urges his knights to bury their differences and become friends. However, the king is unaware that Lancelot is having an affair with his queen, Guinevere. Lancelot is torn between his duty to his king and his love for the queen, whilst Mordred is determined to use his infidelity to destroy him.",French,49,1974-09-26,,,Lancelot of the Lake,Lancelot du Lac
The Man Who Sleeps,Streaming link,,France,1 974,Bernard Queysanne,yes,2h 46m,,,0.0,2014 Takarazuka Revue production.,,,2014-01-17,,,"Napoléon, the Man Who Never Sleeps ~At the End of His Love and Glory~","Napoleon, the Man who Never Sleeps"
The Mouth Agape,Streaming link,,France,1 974,Maurice Pialat,yes,1h 27m,Drama,IMDB,6.7,The portrait of a woman going through a terminal illness and the tumultuous lives of her husband and son.,French,15,1974-05-08,,,The Mouth Agape,La gueule ouverte
Day for Night,Streaming link,,France,1 973,François Truffaut,yes,,,,0.0,,,,2018-10-04,,,Day for night,Day for night
The Last Train,Streaming link,,France,1 973,Pierre Granier-Deferre,yes,1h 20m,Drama,IMDB,0.0,Two lost souls meet at a subway station and form an unexpected connection on the night they have both decided to commit suicide.,English,,2017-01-10,,,The Last Train,The Last Train
The Mother And The Whore,Streaming link,,France,1 973,Jean Eustache,yes,,,,,,,,,,,,
Love in the Afternoon,Streaming link,,France,1 972,Éric Rohmer,yes,2h 10m,Comedy | Drama | Romance,IMDB,7.1,Lovestruck conservatory student Ariane pretends to be just as much a cosmopolitan lover as the worldly mature Frank Flannagan hoping that l’amour will take hold.,English | French,163,1957-06-30,Love is a game any number can play... especially in the afternoon...,,Love in the Afternoon,Love in the Afternoon
State of Siege,Streaming link,,France,1 972,Costa-Gavras,yes,0h 50m,,IMDB,6.0,"Malfred Signal leaves her life of stifling gentility as an art teacher in a South Island private girls' school and decides to live out her dream – painting alone in the remote North. One terrifying night, beset by a prowler, but confronting only her own image at every step, she relives her past.",,1,1978-04-01,,,A State of Siege,A State of Siege
We Won’t Grow Old Together,Streaming link,,France,1 972,Maurice Pialat,yes,,,,,,,,,,,,
Four Nights of a Dreamer,Streaming link,,France,1 971,Robert Bresson,yes,1h 27m,Drama | Romance,IMDB,7.1,"Jacques, a young man with artistic aspirations, spends four nights wandering Paris with a young woman, whom he rescued from suicide.",French,38,1971-06-29,,,Four Nights of a Dreamer,Quatre nuits d'un rêveur
Trafic,Streaming link,,France,1 971,Jacques Tati,yes,1h 36m,Comedy,IMDB,7.2,"Mr. Hulot is the head designer of the Altra Automotive Co. His latest invention is a newfangled camper car loaded with outrageous extra features. Along with the company's manager and publicity model, Hulot sets out from Paris with the intention of debuting the car at the annual auto show in Amsterdam. The going isn't easy, however, and the group encounters an increasingly bizarre series of hurdles and setbacks en route.",Dutch | English | French,92,1971-04-16,The laughs are bumper to bumper!,Monsieur Hulot - Saga,Trafic,Trafic
Claire's Knee,Streaming link,,France,1 970,Éric Rohmer,yes,1h 45m,Drama | Romance,IMDB,7.4,"On the eve of his wedding, on holiday on the Lake Annecy shore, a career diplomat visits an old acquaintance, perhaps a former girlfriend. Through her he meets an intense teenager, Laura, and then lusts after her sister, Claire. Whilst Laura attempts to flirt with him, his fantasy becomes focused on wanting to caress Claire's knee.",French,121,1970-12-11,,,Claire's Knee,Le genou de Claire
Donkey Skin,Streaming link,,France,1 970,Jacques Demy,yes,1h 30m,Comedy | Drama | Fantasy | Music | Romance,IMDB,7.3,A fairy godmother helps a princess disguise herself so she won't have to marry her father.,French,302,1970-12-20,,,Donkey Skin,Peau d'âne
Le boucher,Streaming link,,France,1 970,Claude Chabrol,yes,,,,,,,,,,,,
Le Cercle Rouge,Streaming link,,France,1 970,Jean-Pierre Melville,yes,2h 20m,Crime | Thriller,IMDB,7.6,"When French criminal Corey gets released from prison, he resolves to never return. He is quickly pulled back into the underworld, however, after a chance encounter with escaped murderer Vogel. Along with former policeman and current alcoholic Jansen, they plot an intricate jewel heist. All the while, quirky Police Commissioner Mattei, who was the one to lose custody of Vogel, is determined to find him.",French,345,1970-10-19,No place to hide . . . nowhere to run . . .,,Le Cercle Rouge,Le Cercle rouge
A Gentle Woman,Streaming link,,France,1 969,Robert Bresson,yes,1h 28m,Drama | Romance,IMDB,6.8,"When his young wife commits suicide with no explanation, an introspective pawnbroker looks back on their life together.",French,38,1969-08-27,,,A Gentle Woman,Une femme douce
Army Of Shadows,Streaming link,,France,1 969,Jean-Pierre Melville,yes,,,,,,,,,,,,
